language,domain,nlp_tasks,value
Basque,Biological sciences,word-sense disambiguation,0
Basque,Biological sciences,entity linking,0
Basque,Biological sciences,multiword expressions,0
Basque,Biological sciences,relationship extraction,0
Basque,Biological sciences,semantic parsing,0
Basque,Biological sciences,semantic role labelling,0
Basque,Biological sciences,coreference resolution,0
Basque,Biological sciences,discourse analysis,0
Basque,Biological sciences,implicit semantic role labelling,0
Basque,Biological sciences,recognizing textual entailment,0
Basque,Biological sciences,topic segmentation,0
Basque,Biological sciences,argument mining,0
Basque,Biological sciences,anaphora resolution,0
Basque,Civil engineering,optical character recognition,0
Basque,Civil engineering,speech recognition,0
Basque,Civil engineering,speech segmentation,0
Basque,Civil engineering,text-to-speech,0
Basque,Civil engineering,word segmentation,0
Basque,Civil engineering,lemmatization,0
Basque,Civil engineering,morphological segmentation,0
Basque,Civil engineering,part-of-speech tagging,0
Basque,Civil engineering,stemming,0
Basque,Civil engineering,grammar induction,0
Basque,Civil engineering,sentence breaking ,0
Basque,Civil engineering,parsing,0
Basque,Civil engineering,lexical semantics,0
Basque,Civil engineering,distributional semantics,0
Basque,Civil engineering,named entity recognition,0
Basque,Civil engineering,sentiment analysis,0
Basque,Civil engineering,terminology extraction,0
Basque,Civil engineering,word-sense disambiguation,0
Basque,Civil engineering,entity linking,0
Basque,Civil engineering,multiword expressions,0
Basque,Civil engineering,relationship extraction,0
Basque,Civil engineering,semantic parsing,0
Basque,Civil engineering,semantic role labelling,0
Basque,Civil engineering,coreference resolution,0
Basque,Civil engineering,discourse analysis,0
Basque,Civil engineering,implicit semantic role labelling,0
Basque,Civil engineering,recognizing textual entailment,0
Basque,Civil engineering,topic segmentation,0
Basque,Civil engineering,argument mining,0
Basque,Civil engineering,anaphora resolution,0
Basque,Electrical engineering,optical character recognition,0
Basque,Electrical engineering,speech recognition,0
Basque,Electrical engineering,speech segmentation,0
Basque,Electrical engineering,text-to-speech,0
Basque,Electrical engineering,word segmentation,0
Basque,Electrical engineering,lemmatization,0
Basque,Electrical engineering,morphological segmentation,0
Basque,Electrical engineering,part-of-speech tagging,0
Basque,Electrical engineering,stemming,0
Basque,Electrical engineering,grammar induction,0
Basque,Electrical engineering,sentence breaking ,0
Basque,Electrical engineering,parsing,0
Basque,Electrical engineering,lexical semantics,0
Basque,Electrical engineering,distributional semantics,0
Basque,Electrical engineering,named entity recognition,0
Basque,Electrical engineering,sentiment analysis,0
Basque,Electrical engineering,terminology extraction,0
Basque,Electrical engineering,word-sense disambiguation,0
Basque,Electrical engineering,entity linking,0
Basque,Electrical engineering,multiword expressions,0
Basque,Electrical engineering,relationship extraction,0
Basque,Electrical engineering,semantic parsing,0
Basque,Electrical engineering,semantic role labelling,0
Basque,Electrical engineering,coreference resolution,0
Basque,Electrical engineering,discourse analysis,0
Basque,Electrical engineering,implicit semantic role labelling,0
Basque,Electrical engineering,recognizing textual entailment,0
Basque,Electrical engineering,topic segmentation,0
Basque,Electrical engineering,argument mining,0
Basque,Electrical engineering,anaphora resolution,0
Basque,Electronic engineering,optical character recognition,0
Basque,Electronic engineering,speech recognition,0
Basque,Electronic engineering,speech segmentation,0
Basque,Electronic engineering,text-to-speech,0
Basque,Electronic engineering,word segmentation,0
Basque,Electronic engineering,lemmatization,0
Basque,Electronic engineering,morphological segmentation,0
Basque,Electronic engineering,part-of-speech tagging,0
Basque,Electronic engineering,stemming,0
Basque,Electronic engineering,grammar induction,0
Basque,Electronic engineering,sentence breaking ,0
Basque,Electronic engineering,parsing,0
Basque,Electronic engineering,lexical semantics,0
Basque,Electronic engineering,distributional semantics,0
Basque,Electronic engineering,named entity recognition,0
Basque,Electronic engineering,sentiment analysis,0
Basque,Electronic engineering,terminology extraction,0
Basque,Electronic engineering,word-sense disambiguation,0
Basque,Electronic engineering,entity linking,0
Basque,Electronic engineering,multiword expressions,0
Basque,Electronic engineering,relationship extraction,0
Basque,Electronic engineering,semantic parsing,0
Basque,Electronic engineering,semantic role labelling,0
Basque,Electronic engineering,coreference resolution,0
Basque,Electronic engineering,discourse analysis,0
Basque,Electronic engineering,implicit semantic role labelling,0
Basque,Electronic engineering,recognizing textual entailment,0
Basque,Electronic engineering,topic segmentation,0
Basque,Electronic engineering,argument mining,0
Basque,Electronic engineering,anaphora resolution,0
Basque,Information engineering,optical character recognition,0
Basque,Information engineering,speech recognition,0
Basque,Information engineering,speech segmentation,0
